GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63436,63436,"ZIP 63436 (Center, MO)",00,Total for all sectors,2013,32,163,1065,4250
8610000US63437,63437,"ZIP 63437 (Clarence, MO)",00,Total for all sectors,2013,38,192,1060,4457
8610000US63438,63438,"ZIP 63438 (Durham, MO)",00,Total for all sectors,2013,5,20,S,473
8610000US63440,63440,"ZIP 63440 (Ewing, MO)",00,Total for all sectors,2013,20,99,355,1472
8610000US63441,63441,"ZIP 63441 (Frankford, MO)",00,Total for all sectors,2013,15,42,194,883
8610000US63442,63442,"ZIP 63442 (Granger, MO)",00,Total for all sectors,2013,5,b,166,641
8610000US63443,63443,"ZIP 63443 (Hunnewell, MO)",00,Total for all sectors,2013,3,a,23,86
8610000US63445,63445,"ZIP 63445 (Kahoka, MO)",00,Total for all sectors,2013,110,771,4521,19702
8610000US63446,63446,"ZIP 63446 (Knox City, MO)",00,Total for all sectors,2013,3,a,S,122
8610000US63447,63447,"ZIP 63447 (La Belle, MO)",00,Total for all sectors,2013,19,192,918,4018
8610000US63448,63448,"ZIP 63448 (La Grange, MO)",00,Total for all sectors,2013,18,e,D,D
8610000US63451,63451,"ZIP 63451 (Leonard, MO)",00,Total for all sectors,2013,4,a,75,343
8610000US63452,63452,"ZIP 63452 (Lewistown, MO)",00,Total for all sectors,2013,28,214,1580,6958
8610000US63453,63453,"ZIP 63453 (Luray, MO)",00,Total for all sectors,2013,4,a,87,382
8610000US63454,63454,"ZIP 63454 (Maywood, MO)",00,Total for all sectors,2013,6,a,S,458
8610000US63456,63456,"ZIP 63456 (Monroe City, MO)",00,Total for all sectors,2013,115,1204,7513,33947
8610000US63457,63457,"ZIP 63457 (Monticello, MO)",00,Total for all sectors,2013,10,39,303,1248
8610000US63458,63458,"ZIP 63458 (Newark, MO)",00,Total for all sectors,2013,7,177,587,2572
8610000US63459,63459,"ZIP 63459 (New London, MO)",00,Total for all sectors,2013,62,295,2253,10488
8610000US63460,63460,"ZIP 63460 (Novelty, MO)",00,Total for all sectors,2013,8,b,D,D
8610000US63461,63461,"ZIP 63461 (Palmyra, MO)",00,Total for all sectors,2013,157,1916,20618,83893
8610000US63462,63462,"ZIP 63462 (Perry, MO)",00,Total for all sectors,2013,41,331,2270,9673
8610000US63463,63463,"ZIP 63463 (Philadelphia, MO)",00,Total for all sectors,2013,9,30,115,536
8610000US63464,63464,"ZIP 63464 (Plevna, MO)",00,Total for all sectors,2013,1,a,D,D
8610000US63465,63465,"ZIP 63465 (Revere, MO)",00,Total for all sectors,2013,3,15,59,289
8610000US63467,63467,"ZIP 63467 (Saverton, MO)",00,Total for all sectors,2013,1,a,D,D
8610000US63468,63468,"ZIP 63468 (Shelbina, MO)",00,Total for all sectors,2013,86,795,5130,21190
8610000US63469,63469,"ZIP 63469 (Shelbyville, MO)",00,Total for all sectors,2013,26,82,298,1389
8610000US63471,63471,"ZIP 63471 (Taylor, MO)",00,Total for all sectors,2013,30,e,1658,7430
8610000US63472,63472,"ZIP 63472 (Wayland, MO)",00,Total for all sectors,2013,11,107,474,1843
