GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US63126,63126,"ZIP 63126 (Saint Louis, MO)",00,Total for all sectors,2009,605,5865,G,40856,G,159967,G
8610000US63127,63127,"ZIP 63127 (Saint Louis, MO)",00,Total for all sectors,2009,438,7566,G,75249,G,297407,G
8610000US63128,63128,"ZIP 63128 (Saint Louis, MO)",00,Total for all sectors,2009,786,12986,G,122042,G,529862,G
8610000US63129,63129,"ZIP 63129 (Saint Louis, MO)",00,Total for all sectors,2009,1040,11941,G,74586,G,312063,G
8610000US63130,63130,"ZIP 63130 (Saint Louis, MO)",00,Total for all sectors,2009,565,j,D,D,D,D,D
8610000US63131,63131,"ZIP 63131 (Saint Louis, MO)",00,Total for all sectors,2009,1243,22443,G,277819,G,1059408,G
8610000US63132,63132,"ZIP 63132 (Saint Louis, MO)",00,Total for all sectors,2009,933,22773,G,251692,G,1002639,G
8610000US63133,63133,"ZIP 63133 (Saint Louis, MO)",00,Total for all sectors,2009,188,2384,G,20341,G,86385,G
8610000US63134,63134,"ZIP 63134 (Saint Louis, MO)",00,Total for all sectors,2009,302,16341,G,405921,G,1508795,G
8610000US63135,63135,"ZIP 63135 (Saint Louis, MO)",00,Total for all sectors,2009,242,2406,G,14568,G,57948,G
8610000US63136,63136,"ZIP 63136 (Saint Louis, MO)",00,Total for all sectors,2009,625,11247,G,95147,G,435477,G
8610000US63137,63137,"ZIP 63137 (Saint Louis, MO)",00,Total for all sectors,2009,146,1431,G,8553,G,35026,G
