GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,YEAR.display-label,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Meaning of Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US64188,64188,"ZIP 64188 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,7,b,D,D,D,D,D
8610000US64190,64190,"ZIP 64190 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,6,b,S,207,H,791,H
8610000US64191,64191,"ZIP 64191 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US64192,64192,"ZIP 64192 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,3,b,S,S,S,257,H
8610000US64195,64195,"ZIP 64195 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,6,e,D,D,D,D,D
8610000US64196,64196,"ZIP 64196 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US64197,64197,"ZIP 64197 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,1,b,D,D,D,D,D
8610000US64198,64198,"ZIP 64198 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,2,g,D,D,D,D,D
8610000US64199,64199,"ZIP 64199 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,3,a,D,D,D,D,D
8610000US64401,64401,"ZIP 64401 (Agency, MO)",00,Total for all sectors,2007,Reference year 2007,25,80,G,344,G,1541,G
8610000US64402,64402,"ZIP 64402 (Albany, MO)",00,Total for all sectors,2007,Reference year 2007,75,850,G,4991,G,20688,G
8610000US64420,64420,"ZIP 64420 (Allendale, MO)",00,Total for all sectors,2007,Reference year 2007,4,15,G,S,S,191,H
8610000US64421,64421,"ZIP 64421 (Amazonia, MO)",00,Total for all sectors,2007,Reference year 2007,6,7,G,26,G,134,G
