GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQ1T,PAYANT
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63127,63127,"ZIP 63127 (Saint Louis, MO)",00,Total for all sectors,2004,443,8072,75119,306826
8610000US63128,63128,"ZIP 63128 (Saint Louis, MO)",00,Total for all sectors,2004,835,13648,118872,481289
8610000US63129,63129,"ZIP 63129 (Saint Louis, MO)",00,Total for all sectors,2004,1054,12083,64112,297829
8610000US63130,63130,"ZIP 63130 (Saint Louis, MO)",00,Total for all sectors,2004,578,21397,190090,820278
8610000US63131,63131,"ZIP 63131 (Saint Louis, MO)",00,Total for all sectors,2004,1189,22729,221445,878118
8610000US63132,63132,"ZIP 63132 (Saint Louis, MO)",00,Total for all sectors,2004,947,28114,243346,979336
8610000US63133,63133,"ZIP 63133 (Saint Louis, MO)",00,Total for all sectors,2004,200,3612,33757,140513
8610000US63134,63134,"ZIP 63134 (Saint Louis, MO)",00,Total for all sectors,2004,326,11999,110778,417609
8610000US63135,63135,"ZIP 63135 (Saint Louis, MO)",00,Total for all sectors,2004,264,3021,17063,69655
8610000US63136,63136,"ZIP 63136 (Saint Louis, MO)",00,Total for all sectors,2004,627,10945,96570,415316
8610000US63137,63137,"ZIP 63137 (Saint Louis, MO)",00,Total for all sectors,2004,160,1605,9749,42419
8610000US63138,63138,"ZIP 63138 (Saint Louis, MO)",00,Total for all sectors,2004,215,2093,10521,47198
8610000US63139,63139,"ZIP 63139 (Saint Louis, MO)",00,Total for all sectors,2004,794,10713,84428,351887
8610000US63140,63140,"ZIP 63140 (Saint Louis, MO)",00,Total for all sectors,2004,15,321,1599,6017
8610000US63141,63141,"ZIP 63141 (Saint Louis, MO)",00,Total for all sectors,2004,1881,50865,616735,2357078
8610000US63143,63143,"ZIP 63143 (Saint Louis, MO)",00,Total for all sectors,2004,379,5828,52833,214677
8610000US63144,63144,"ZIP 63144 (Saint Louis, MO)",00,Total for all sectors,2004,764,14191,116179,501580
8610000US63145,63145,"ZIP 63145 (Saint Louis, MO)",00,Total for all sectors,2004,56,6118,59155,266883
8610000US63146,63146,"ZIP 63146 (Saint Louis, MO)",00,Total for all sectors,2004,1175,24818,235386,996271
8610000US63147,63147,"ZIP 63147 (Saint Louis, MO)",00,Total for all sectors,2004,347,10956,104901,444976
8610000US63150,63150,"ZIP 63150 (Saint Louis, MO)",00,Total for all sectors,2004,1,a,D,D
8610000US63151,63151,"ZIP 63151 (Saint Louis, MO)",00,Total for all sectors,2004,15,32,219,919
8610000US63155,63155,"ZIP 63155 (Saint Louis, MO)",00,Total for all sectors,2004,2,b,D,D
8610000US63156,63156,"ZIP 63156 (Saint Louis, MO)",00,Total for all sectors,2004,7,145,152,702
8610000US63157,63157,"ZIP 63157 (Saint Louis, MO)",00,Total for all sectors,2004,3,a,D,D
8610000US63158,63158,"ZIP 63158 (Saint Louis, MO)",00,Total for all sectors,2004,4,5,42,195
8610000US63163,63163,"ZIP 63163 (Saint Louis, MO)",00,Total for all sectors,2004,20,120,400,1866
8610000US63164,63164,"ZIP 63164 (Saint Louis, MO)",00,Total for all sectors,2004,5,h,D,D
8610000US63166,63166,"ZIP 63166 (Saint Louis, MO)",00,Total for all sectors,2004,26,1002,11838,46715
8610000US63167,63167,"ZIP 63167 (Saint Louis, MO)",00,Total for all sectors,2004,15,h,D,D
8610000US63169,63169,"ZIP 63169 (Saint Louis, MO)",00,Total for all sectors,2004,2,a,D,D
8610000US63171,63171,"ZIP 63171 (Saint Louis, MO)",00,Total for all sectors,2004,1,a,D,D
8610000US63177,63177,"ZIP 63177 (Saint Louis, MO)",00,Total for all sectors,2004,6,c,D,D
8610000US63178,63178,"ZIP 63178 (Saint Louis, MO)",00,Total for all sectors,2004,8,e,D,D
8610000US63180,63180,"ZIP 63180 (Saint Louis, MO)",00,Total for all sectors,2004,1,a,D,D
8610000US63188,63188,"ZIP 63188 (Saint Louis, MO)",00,Total for all sectors,2004,1,a,D,D
8610000US63190,63190,"ZIP 63190 (Saint Louis, MO)",00,Total for all sectors,2004,2,a,D,D
8610000US63198,63198,"ZIP 63198 (Saint Louis, MO)",00,Total for all sectors,2004,3,f,D,D
8610000US63199,63199,"ZIP 63199 (Saint Louis, MO)",00,Total for all sectors,2004,2,a,D,D
8610000US63301,63301,"ZIP 63301 (Saint Charles, MO)",00,Total for all sectors,2004,1320,25934,178804,771983
8610000US63302,63302,"ZIP 63302 (Saint Charles, MO)",00,Total for all sectors,2004,24,311,2543,11179
8610000US63303,63303,"ZIP 63303 (Saint Charles, MO)",00,Total for all sectors,2004,869,10099,59047,261443
8610000US63304,63304,"ZIP 63304 (Saint Charles, MO)",00,Total for all sectors,2004,887,12225,81374,368683
8610000US63330,63330,"ZIP 63330 (Annada, MO)",00,Total for all sectors,2004,1,a,D,D
8610000US63332,63332,"ZIP 63332 (Augusta, MO)",00,Total for all sectors,2004,41,242,1045,5880
8610000US63333,63333,"ZIP 63333 (Bellflower, MO)",00,Total for all sectors,2004,4,22,166,595
8610000US63334,63334,"ZIP 63334 (Bowling Green, MO)",00,Total for all sectors,2004,182,1489,6840,29202
8610000US63336,63336,"ZIP 63336 (Clarksville, MO)",00,Total for all sectors,2004,28,365,3648,12597
8610000US63338,63338,"ZIP 63338 (Cottleville, MO)",00,Total for all sectors,2004,10,92,568,2522
8610000US63339,63339,"ZIP 63339 (Curryville, MO)",00,Total for all sectors,2004,13,35,155,756
8610000US63341,63341,"ZIP 63341 (Defiance, MO)",00,Total for all sectors,2004,95,769,4484,23818
8610000US63342,63342,"ZIP 63342 (Dutzow, MO)",00,Total for all sectors,2004,10,133,1138,4676
8610000US63343,63343,"ZIP 63343 (Elsberry, MO)",00,Total for all sectors,2004,76,389,1649,7682
8610000US63344,63344,"ZIP 63344 (Eolia, MO)",00,Total for all sectors,2004,22,188,905,4805
8610000US63345,63345,"ZIP 63345 (Farber, MO)",00,Total for all sectors,2004,8,12,83,341
8610000US63346,63346,"ZIP 63346 (Flinthill, MO)",00,Total for all sectors,2004,5,70,359,1387
8610000US63347,63347,"ZIP 63347 (Foley, MO)",00,Total for all sectors,2004,23,133,681,3303
8610000US63348,63348,"ZIP 63348 (Foristell, MO)",00,Total for all sectors,2004,106,895,6020,26093
8610000US63349,63349,"ZIP 63349 (Hawk Point, MO)",00,Total for all sectors,2004,34,144,776,3694
8610000US63350,63350,"ZIP 63350 (High Hill, MO)",00,Total for all sectors,2004,15,82,685,2979
8610000US63351,63351,"ZIP 63351 (Jonesburg, MO)",00,Total for all sectors,2004,35,519,2730,12536
8610000US63352,63352,"ZIP 63352 (Laddonia, MO)",00,Total for all sectors,2004,21,107,385,1777
8610000US63353,63353,"ZIP 63353 (Louisiana, MO)",00,Total for all sectors,2004,163,2289,12628,55073
8610000US63357,63357,"ZIP 63357 (Marthasville, MO)",00,Total for all sectors,2004,84,724,3663,16695
8610000US63359,63359,"ZIP 63359 (Middletown, MO)",00,Total for all sectors,2004,13,20,113,554
8610000US63361,63361,"ZIP 63361 (Montgomery City, MO)",00,Total for all sectors,2004,144,931,4801,19339
8610000US63362,63362,"ZIP 63362 (Moscow Mills, MO)",00,Total for all sectors,2004,92,836,5038,25022
8610000US63363,63363,"ZIP 63363 (New Florence, MO)",00,Total for all sectors,2004,42,549,2190,9711
8610000US63365,63365,"ZIP 63365 (New Melle, MO)",00,Total for all sectors,2004,21,150,705,3459
8610000US63366,63366,"ZIP 63366 (O Fallon, MO)",00,Total for all sectors,2004,1309,25398,225863,845963
8610000US63367,63367,"ZIP 63367 (Lake Saint Louis, MO)",00,Total for all sectors,2004,263,2448,17532,84030
8610000US63368,63368,"ZIP 63368(O FALLON,MO)",00,Total for all sectors,2004,89,h,D,D
8610000US63369,63369,"ZIP 63369 (Old Monroe, MO)",00,Total for all sectors,2004,41,357,2618,11785
8610000US63370,63370,"ZIP 63370 (Olney, MO)",00,Total for all sectors,2004,2,a,D,D
8610000US63373,63373,"ZIP 63373 (Portage Des Sioux, MO)",00,Total for all sectors,2004,16,47,173,871
8610000US63376,63376,"ZIP 63376 (Saint Peters, MO)",00,Total for all sectors,2004,1608,22528,138025,608875
8610000US63377,63377,"ZIP 63377 (Silex, MO)",00,Total for all sectors,2004,40,334,1423,6420
8610000US63378,63378,"ZIP 63378 (Treloar, MO)",00,Total for all sectors,2004,3,6,35,146
8610000US63379,63379,"ZIP 63379 (Troy, MO)",00,Total for all sectors,2004,472,6019,37823,174346
8610000US63381,63381,"ZIP 63381 (Truxton, MO)",00,Total for all sectors,2004,2,a,D,D
8610000US63382,63382,"ZIP 63382 (Vandalia, MO)",00,Total for all sectors,2004,84,776,5427,21542
8610000US63383,63383,"ZIP 63383 (Warrenton, MO)",00,Total for all sectors,2004,364,3752,19118,88492
8610000US63384,63384,"ZIP 63384 (Wellsville, MO)",00,Total for all sectors,2004,43,218,863,3862
8610000US63385,63385,"ZIP 63385 (Wentzville, MO)",00,Total for all sectors,2004,642,11830,120955,507448
8610000US63386,63386,"ZIP 63386 (West Alton, MO)",00,Total for all sectors,2004,17,277,4951,17034
8610000US63387,63387,"ZIP 63387 (Whiteside, MO)",00,Total for all sectors,2004,4,9,44,223
8610000US63388,63388,"ZIP 63388 (Williamsburg, MO)",00,Total for all sectors,2004,10,56,218,942
8610000US63389,63389,"ZIP 63389 (Winfield, MO)",00,Total for all sectors,2004,78,460,2164,10063
8610000US63390,63390,"ZIP 63390 (Wright City, MO)",00,Total for all sectors,2004,131,1817,11232,45457
8610000US63401,63401,"ZIP 63401 (Hannibal, MO)",00,Total for all sectors,2004,725,10789,61162,261174
8610000US63430,63430,"ZIP 63430 (Alexandria, MO)",00,Total for all sectors,2004,9,54,212,1042
8610000US63431,63431,"ZIP 63431 (Anabel, MO)",00,Total for all sectors,2004,2,a,D,D
